Timestamp,FPS,Inference_Latency_ms,Gesture_Detected
21:13:00,48.26,16.84,NEUTRAL
21:13:00,47.51,25.69,NEUTRAL
21:13:00,47.05,14.35,NEUTRAL
21:13:00,47.76,14.16,NEUTRAL
21:13:00,46.81,13.19,NEUTRAL
21:13:00,47.46,12.8,NEUTRAL
21:13:00,47.15,14.06,NEUTRAL
21:13:01,48.77,13.05,NEUTRAL
21:13:01,48.95,13.57,NEUTRAL
21:13:01,47.71,20.09,NEUTRAL
21:13:01,46.19,27.82,NEUTRAL
21:13:01,47.91,15.04,NEUTRAL
21:13:01,47.57,14.54,NEUTRAL
21:13:01,47.5,14.03,NEUTRAL
21:13:01,46.81,21.4,NEUTRAL
21:13:01,46.51,13.7,NEUTRAL
21:13:01,45.56,17.25,NEUTRAL
21:13:01,45.33,13.79,NEUTRAL
21:13:01,45.37,13.52,NEUTRAL
21:13:01,46.84,13.57,NEUTRAL
21:13:01,48.85,15.15,NEUTRAL
21:13:01,49.36,13.45,NEUTRAL
21:13:01,49.67,14.77,NEUTRAL
21:13:01,49.75,13.46,NEUTRAL
21:13:01,51.71,13.65,NEUTRAL
21:13:01,51.58,14.31,NEUTRAL
21:13:01,52.35,14.19,NEUTRAL
21:13:01,51.99,13.68,NEUTRAL
21:13:01,51.68,13.63,NEUTRAL
21:13:01,51.13,15.13,NEUTRAL
21:13:01,49.61,22.81,NEUTRAL
21:13:01,48.43,13.24,NEUTRAL
21:13:01,48.66,14.41,NEUTRAL
21:13:01,48.3,13.37,NEUTRAL
21:13:01,47.45,16.73,NEUTRAL
21:13:01,47.79,13.39,NEUTRAL
21:13:01,47.76,14.9,NEUTRAL
21:13:01,47.11,18.11,NEUTRAL
21:13:01,46.66,16.83,NEUTRAL
21:13:01,47.12,13.36,NEUTRAL
21:13:01,48.45,15.85,NEUTRAL
21:13:01,49.63,13.44,NEUTRAL
21:13:01,49.61,15.01,NEUTRAL
21:13:01,50.16,13.28,NEUTRAL
21:13:01,51.09,13.31,NEUTRAL
21:13:01,50.69,14.2,NEUTRAL
21:13:01,50.89,14.03,NEUTRAL
21:13:01,51.97,13.41,NEUTRAL
21:13:01,52.93,13.36,NEUTRAL
21:13:01,52.66,14.54,NEUTRAL
21:13:01,53.13,13.31,NEUTRAL
21:13:01,52.47,16.09,NEUTRAL
21:13:01,52.86,13.07,NEUTRAL
21:13:01,52.75,13.27,NEUTRAL
21:13:01,52.39,13.52,NEUTRAL
21:13:02,51.1,21.01,NEUTRAL
21:13:02,51.22,13.37,NEUTRAL
